Ref,Val,Package,PosX,PosY,Rot,Side
"IC1","VNH7100BASTR","SOIC127P600X175-16N",127.761999,-89.027001,90.000000,top
"IC2","L78M05ABDT-TR","L78M05ABDTTR",145.861130,-93.660870,135.000000,top
"LED1","NH-B2020RGBA-HF","NHB2020RGBAHF",140.247000,-69.173000,0.000000,top
"R2","1k","R_0805_2012Metric",153.243870,-81.382340,-135.000000,top
"R3","1k","R_0805_2012Metric",155.329835,-83.468305,-135.000000,top
"R4","1k","R_0805_2012Metric",157.415800,-85.554270,45.000000,top
"R5","1k","R_0805_2012Metric",159.501765,-87.640235,45.000000,top
"R7","220","R_0805_2012Metric",147.182765,-77.205765,135.000000,top
"R8","230","R_0805_2012Metric",161.533765,-84.825765,-45.000000,top
"R9","300","R_0805_2012Metric",153.659765,-90.667765,-45.000000,top
