Id,Designator,Footprint,Quantity,Designation,Supplier and ref
1,R9,R_0805_2012Metric,1,300,
2,R8,R_0805_2012Metric,1,230,
3,R7,R_0805_2012Metric,1,220,
4,LED1,NHB2020RGBAHF,1,NH-B2020RGBA-HF,
5,R1,TRIM_PT15NV15-102A1010-S,1,PTV09A-4225F-B104,
6,A1,Clone_Pro_Mini_Socket_NoSPH,1,Arduino_Mini_Socket,
7,R5,,,,
8,H8,Hole,1,Data Out,
9,H7,Hole,1,CLK Out,
10,IC2,L78M05ABDTTR,1,L78M05ABDT-TR,
11,H2,Hole,1,GND,
12,R6,R_Axial_DIN0204_L3.6mm_D1.6mm_P5.08mm_Horizontal,1,Rsense,
13,H1,Hole,1,24V,
14,H6,Hole,1,CLK IN,
15,IC1,SOIC127P600X175-16N,1,VNH7100BASTR,
16,H4,Hole,1,M2,
17,H5,Hole,1,Data In,
18,H3,Hole,1,M1,
