Designator,Footprint,Quantity,Value,LCSC Part #
"C2, C6",0805,2,100nF,
C3,0805,1,10nF,
"C4, C5",0805,2,30pF,
IC1,SOIC127P600X175-16N,1,VNH7100BASTR,
IC2,SOIC127P600X175-8N,1,TJA1050T_CM,
"J1, J2",JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,2,SM04B-SRSS-TB,
J5,JST_SH_SM03B-SRSS-TB_1x03-1MP_P1.00mm_Horizontal,1,Conn_01x03_Pin,
J6,JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical,1,Conn_01x02_Pin,
LED1,NHB2020RGBAHF,1,NH-B2020RGBA-HF,
"R1, R13, R14",0402,3,8.2k,
R10,0402,1,3.9k,
R11,0402,1,2.2k,
"R12, R2, R3, R4, R5",0402,5,1.1k,
"R7, R8",0402,2,120,
R9,0402,1,165,
SW1,SW_DIP_SPSTx04_Slide_KingTek_DSHP04TJ_W5.25mm_P1.27mm_JPin,1,DSHP04TJGER,
